"GrupoEdad","Sexo","PorcCasos","CasosAcum","PorcDef","DefAcum","fecha","NA"
"g90 o más","Dona / Mujer",2,4335,27.9,911,20210607,"2021-06-18"
"g0-9","Home / Hombre",7.7,15097,0,0,20210607,"2021-06-18"
"g10-19","Home / Hombre",11.5,22322,0,1,20210607,"2021-06-18"
"g20-29","Home / Hombre",13,25254,0.1,3,20210607,"2021-06-18"
"g30-39","Home / Hombre",13.4,26165,0.3,11,20210607,"2021-06-18"
"g40-49","Home / Hombre",17.2,33436,1.3,56,20210607,"2021-06-18"
"g50-59","Home / Hombre",15.3,29754,4.7,194,20210607,"2021-06-18"
"g60-69","Home / Hombre",10.5,20534,13.8,577,20210607,"2021-06-18"
"g70-79","Home / Hombre",6.7,13050,28.2,1174,20210607,"2021-06-18"
"g80-89","Home / Hombre",3.9,7565,37.7,1573,20210607,"2021-06-18"
"g90 o más","Home / Hombre",0.9,1702,13.9,581,20210607,"2021-06-18"
"g0-9","Dona / Mujer",6.9,14734,0,0,20210605,"2021-06-18"
"g10-19","Dona / Mujer",10.4,22171,0.1,2,20210605,"2021-06-18"
"g20-29","Dona / Mujer",12.8,27247,0,1,20210605,"2021-06-18"
"g30-39","Dona / Mujer",13.8,29374,0.2,7,20210605,"2021-06-18"
"g40-49","Dona / Mujer",17.2,36418,0.7,24,20210605,"2021-06-18"
"g50-59","Dona / Mujer",15.1,32055,2.2,73,20210605,"2021-06-18"
"g60-69","Dona / Mujer",9.7,20670,5.9,193,20210605,"2021-06-18"
"g70-79","Dona / Mujer",6.6,14027,18.6,610,20210605,"2021-06-18"
"g80-89","Dona / Mujer",5.3,11205,44.3,1450,20210605,"2021-06-18"
"g90 o más","Dona / Mujer",2,4335,27.9,911,20210605,"2021-06-18"
"g0-9","Home / Hombre",7.7,15091,0,0,20210605,"2021-06-18"
"g10-19","Home / Hombre",11.4,22299,0,1,20210605,"2021-06-18"
"g20-29","Home / Hombre",13,25233,0.1,3,20210605,"2021-06-18"
