"fecha","GrupoEdad","Sexo","CasosAcum","DefAcum","CasosDia","DefDia","Casos_14d","Def_14d","Casos_7d","Def_7d","PoblacionCV"
"2020-06-09","g60-69","Hombre",1318,110,13,0,0,0,35,35,5003769
"2020-06-09","g70-79","Hombre",1183,264,5,0,0,0,26,26,5003769
"2020-06-09","g80-89","Hombre",844,293,0,1,0,0,10,10,5003769
"2020-06-09","g90 o mas","Hombre",221,96,0,1,0,0,0,0,5003769
"2020-06-09","g0-9","Mujer",70,0,0,0,0,0,9,9,5003769
"2020-06-09","g10-19","Mujer",133,1,1,0,0,0,14,14,5003769
"2020-06-09","g20-29","Mujer",730,0,7,0,0,0,44,44,5003769
"2020-06-09","g30-39","Mujer",1159,1,6,0,0,0,47,47,5003769
"2020-06-09","g40-49","Mujer",1556,4,9,0,0,0,72,72,5003769
"2020-06-09","g50-59","Mujer",1719,14,8,0,0,0,59,59,5003769
"2020-06-09","g60-69","Mujer",1278,43,10,0,0,0,51,51,5003769
"2020-06-09","g70-79","Mujer",1047,126,9,0,0,0,44,44,5003769
"2020-06-09","g80-89","Mujer",1198,291,1,0,0,0,19,19,5003769
"2020-06-09","g90 o mas","Mujer",607,166,1,0,0,0,8,8,5003769
"2020-06-10","g0-9","Hombre",86,0,3,0,0,0,9,9,5003769
"2020-06-10","g10-19","Hombre",114,0,2,0,0,0,10,10,5003769
"2020-06-10","g20-29","Hombre",403,1,3,0,0,0,17,17,5003769
"2020-06-10","g30-39","Hombre",813,6,4,0,0,0,27,27,5003769
"2020-06-10","g40-49","Hombre",1199,7,13,0,0,0,69,69,5003769
"2020-06-10","g50-59","Hombre",1321,27,4,0,0,0,61,61,5003769
"2020-06-10","g60-69","Hombre",1326,110,8,0,0,0,38,38,5003769
"2020-06-10","g70-79","Hombre",1191,264,8,0,0,0,30,30,5003769
"2020-06-10","g80-89","Hombre",845,293,1,0,0,0,9,9,5003769
"2020-06-10","g90 o mas","Hombre",221,96,0,0,0,0,0,0,5003769
"2020-06-10","g0-9","Mujer",72,0,2,0,0,0,11,11,5003769
"2020-06-10","g10-19","Mujer",138,1,5,0,0,0,16,16,5003769
"2020-06-10","g20-29","Mujer",736,0,6,0,0,0,43,43,5003769
"2020-06-10","g30-39","Mujer",1171,1,12,0,0,0,50,50,5003769
"2020-06-10","g40-49","Mujer",1564,4,8,0,0,0,67,67,5003769
"2020-06-10","g50-59","Mujer",1722,14,3,0,0,0,52,52,5003769
"2020-06-10","g60-69","Mujer",1285,43,7,0,0,0,48,48,5003769
"2020-06-10","g70-79","Mujer",1054,126,7,0,0,0,48,48,5003769
"2020-06-10","g80-89","Mujer",1199,291,1,0,0,0,16,16,5003769
"2020-06-10","g90 o mas","Mujer",607,168,0,2,0,0,9,9,5003769
"2020-06-11","g0-9","Hombre",86.6666666666667,0,0.666666666666671,0,19.6666666666667,19.6666666666667,8.66666666666667,8.66666666666667,5003769
