"fecha","GrupoEdad","Sexo","PorcCasos","CasosAcum","PorcDef","DefAcum","NA.","CasosDia","DefDia","Casos_14d","Def_14d","Casos_7d","Def_7d","PoblacionCV"
2020-05-31,"g80-89","Mujer",13,1173,45.3,290,"2021-07-15",0,0,0,0,0,0,5067031
2020-05-31,"g90 o mas","Mujer",6.6,598,25.5,163,"2021-07-15",1,0,0,0,0,0,5067031
2020-06-01,"g0-9","Hombre",1,69,0,0,"",1,0,0,0,0,0,5067031
2020-06-01,"g10-19","Hombre",1.3,96,0,0,"",2,0,0,0,0,0,5067031
2020-06-01,"g20-29","Hombre",5.2,374,0.1,1,"",2,0,0,0,0,0,5067031
2020-06-01,"g30-39","Hombre",10.8,769,0.8,6,"",8,0,0,0,0,0,5067031
2020-06-01,"g40-49","Hombre",15.6,1115,0.9,7,"",7,0,0,0,0,0,5067031
2020-06-01,"g50-59","Hombre",17.4,1244,3.4,27,"",8,0,0,0,0,0,5067031
2020-06-01,"g60-69","Hombre",17.8,1273,13.5,107,"",6,0,0,0,0,0,5067031
2020-06-01,"g70-79","Hombre",16.1,1150,32.8,260,"",3,0,0,0,0,0,5067031
2020-06-01,"g80-89","Hombre",11.6,830,36.5,289,"",0,0,0,0,0,0,5067031
2020-06-01,"g90 o mas","Hombre",3.1,221,12,95,"",0,0,0,0,0,0,5067031
2020-06-01,"g0-9","Mujer",0.7,59,0,0,"2021-07-15",0,0,0,0,0,0,5067031
2020-06-01,"g10-19","Mujer",1.2,112,0.2,1,"2021-07-15",4,0,0,0,0,0,5067031
2020-06-01,"g20-29","Mujer",7.5,681,0,0,"2021-07-15",6,0,0,0,0,0,5067031
2020-06-01,"g30-39","Mujer",12.1,1100,0.2,1,"2021-07-15",8,0,0,0,0,0,5067031
2020-06-01,"g40-49","Mujer",16.2,1471,0.6,4,"2021-07-15",9,0,0,0,0,0,5067031
2020-06-01,"g50-59","Mujer",18.2,1650,2.2,14,"2021-07-15",5,0,0,0,0,0,5067031
2020-06-01,"g60-69","Mujer",13.4,1215,6.7,43,"2021-07-15",3,0,0,0,0,0,5067031
2020-06-01,"g70-79","Mujer",11,995,19.3,124,"2021-07-15",2,0,0,0,0,0,5067031
2020-06-01,"g80-89","Mujer",13,1174,45.2,290,"2021-07-15",1,0,0,0,0,0,5067031
2020-06-01,"g90 o mas","Mujer",6.6,598,25.6,163,"2021-07-15",0,0,0,0,0,0,5067031
2020-06-02,"g0-9","Hombre",1,73,0,0,"",4,0,0,0,12,0,5067031
2020-06-02,"g10-19","Hombre",1.4,102,0,0,"",6,0,0,0,21,0,5067031
2020-06-02,"g20-29","Hombre",5.3,379,0.1,1,"",5,0,0,0,19,0,5067031
2020-06-02,"g30-39","Hombre",10.8,779,0.8,6,"",10,0,0,0,35,0,5067031
2020-06-02,"g40-49","Hombre",15.6,1123,0.9,7,"",8,0,0,0,38,1,5067031
2020-06-02,"g50-59","Hombre",17.4,1257,3.4,27,"",13,0,0,0,45,0,5067031
2020-06-02,"g60-69","Hombre",17.8,1283,13.5,107,"",10,0,0,0,43,1,5067031
2020-06-02,"g70-79","Hombre",16.1,1157,32.8,260,"",7,0,0,0,20,0,5067031
2020-06-02,"g80-89","Hombre",11.6,834,36.5,289,"",4,0,0,0,7,1,5067031
2020-06-02,"g90 o mas","Hombre",3.1,221,12,95,"",0,0,0,0,-1,2,5067031
2020-06-02,"g0-9","Mujer",0.7,61,0,0,"2021-07-15",2,0,0,0,8,0,5067031
2020-06-02,"g10-19","Mujer",1.3,119,0.2,1,"2021-07-15",7,0,0,0,22,0,5067031
2020-06-02,"g20-29","Mujer",7.5,686,0,0,"2021-07-15",5,0,0,0,27,0,5067031
2020-06-02,"g30-39","Mujer",12.2,1112,0.2,1,"2021-07-15",12,0,0,0,48,0,5067031
2020-06-02,"g40-49","Mujer",16.3,1484,0.6,4,"2021-07-15",13,0,0,0,67,0,5067031
2020-06-02,"g50-59","Mujer",18.2,1660,2.2,14,"2021-07-15",10,0,0,0,50,1,5067031
2020-06-02,"g60-69","Mujer",13.4,1227,6.7,43,"2021-07-15",12,0,0,0,44,1,5067031
2020-06-02,"g70-79","Mujer",11,1003,19.4,124,"2021-07-15",8,0,0,0,29,0,5067031
2020-06-02,"g80-89","Mujer",12.9,1179,45.3,290,"2021-07-15",5,0,0,0,14,4,5067031
2020-06-02,"g90 o mas","Mujer",6.6,599,25.5,163,"2021-07-15",1,0,0,0,8,3,5067031
2020-06-03,"g0-9","Hombre",1.1,77,0,0,"",4,0,0,0,16,0,5067031
2020-06-03,"g10-19","Hombre",1.4,104,0,0,"",2,0,0,0,23,0,5067031
2020-06-03,"g20-29","Hombre",5.3,386,0.1,1,"",7,0,0,0,26,0,5067031
2020-06-03,"g30-39","Hombre",10.8,786,0.8,6,"",7,0,0,0,42,0,5067031
2020-06-03,"g40-49","Hombre",15.6,1130,0.9,7,"",7,0,0,0,45,1,5067031
2020-06-03,"g50-59","Hombre",17.4,1260,3.4,27,"",3,0,0,0,48,0,5067031
2020-06-03,"g60-69","Hombre",17.8,1288,13.6,108,"",5,1,0,0,48,2,5067031
2020-06-03,"g70-79","Hombre",16,1161,32.8,261,"",4,1,0,0,24,1,5067031
2020-06-03,"g80-89","Hombre",11.5,836,36.6,291,"",2,2,0,0,9,3,5067031
2020-06-03,"g90 o mas","Hombre",3,221,11.9,95,"",0,0,0,0,-1,2,5067031
2020-06-03,"g0-9","Mujer",0.7,61,0,0,"2021-07-15",0,0,0,0,8,0,5067031
